vend.vend-no	vend.name	vend.terms	vend.disc-%	vend.add1	vend.add2	vend.city	vend.state	vend.Postal	vend.phone	vend.contact	vend.fax	vend.actnum	vend.tax-id	vend.code-1099
1	Shawn Aikins	1	.00	PO Box 373		Morris	NY	13808	607-263-2127	Shawn		0		0
2	Advanced Die Supplies	N30	.00	1070 Culpepper Drive	Suite 600	Conyers	GA	30094				35312		0
3	Mid-York Press/Acct Tran	1	.00			Sherburne	NY	13460				0		0
6	"ALADDIN Finishing, Inc."	N30	.00	438 West 37th Street		New York	NY	10018	(212)279-1222	Robert	(212)268-5273	32214		0
8	"A. Duie Pyle, Inc."	1	.00	PO Box 564		West Chester	PA	19381				32223		0
12	Albertina Heating &	1	.00	456 Kendrick Rd.		Sherburne	NY	13460	607-316-1132	Jason Albertina		0		0
13	AdTech Graphic Service	1	.00	One Mill Street		Batavia	NY	14020	(716)344-0377		(716)344-0377	0		0
14	"AICCO, Inc."	1	.00	Box 9045		New York	NY	10087-9045	800-791-7901			38325		0
15	APA	1	.00	7000 East Genesee St.		Fayetteville	NY	13066	(315)445-2108		(315)446-5671	17109		0
16	"Advanced Software, Inc."	N30	.00	301 Oxford Valley Road	Suite 1713	Yardley	PA	19067	215-369-7800	Joseph Hentz	267-503-0226	41165		0
17	Adsit Septic & Grading	1	.00	7796 State Highway 12		Sherburne	NY	13460	674-4554	Bob	674-5194	11616		0
19	ADVANTA Bank Corp.	1	.00	PO Box 8088		Philadelphia	PA	19101				0		0
22	AFLAC NEW YORK	1	.00	Remittance Processing	1932 Wynnton Road	Columbus	GA	31999-6005	(800)366-3436			17107		0
23	Adirondack Environmental	1	.00	"Services, Inc."	314 North Pearl Street	Albany	NY	12207	(518)434-4546		(518)434-0891	37131		0
24	Advanced Cylinder Repair	N15	.00	27 Taunton St.		Bellingham	MA	02019	5084596262		5083813088	0		0
26	A Plus Machining	N10	.00	194 Stowell Road		Smyrna	NY	13464		Art Fleming		34130		0
