1526 NROCMS          32222          Rocky Mountain Ski / Patio    5323 Rosewell Road                                          Atlanta          GA30342
1526 IROCMS          32222          00001        12               16.5EA                                                                                CVR TRON-WEVE CHR LNGE CHAS BG
1526 IROCMS          32222          00002        12              25.75EA                                                                                CVR TRON-WEVE CHR SOFA WICK BG
1526 IROCMS          32222          00003        12              16.25EA                                                                                CVR TRON-WEVE LRG WCKR CHR BGE
1526 IROCMS          32222          00004        12               22.5EA                                                                                CVR TRON-WEVE FS LOVESEAT BGE
1526 IROCMS          32222          00005        24               8.25EA                                                                                CVR TRON-WEVE CHR OTTO WICK BG
1526 IROCMS          32222          00006        16              48.25EA                                                                                CVR TRON-WEVE TABL/HB CHR 48"
1526 IROCMS          32222          00007         6                 55EA                                                                                CVR TRON-WEVE TABL/HB CHR 60"
1526 IROCMS          32222          00008         8              48.25EA                                                                                CVR TRON-WEVE TABL OVAL 110X84
1526 IROCMS          32222          00009        24                 13EA                                                                                CVR TRON-WEVE TABLE MULTI SZ B
1526 IROCMS          32222          00010        48               12.5EA                                                                                CVR TRON-WEVE UMB DLX ROD 10'
1526 IROCMS          32222          00011        24              10.25EA                                                                                BAG STOR TRON-WEVE CUSH BGE
1526 DROCMS          32222          000110000381600101402                  6  EB=15% 60 Days                                                                                                     0
1526 NFLOCS          32227          Flower City - SSF, Inc.       15155 Carol Lane                                            Wayzata          MN55391
1526 IFLOCS          32227          00001        12              13.25EA                                                                                CVR VINYL CHR LOUNGE CHAIS GRY
1526 IFLOCS          32227          00002        12              38.75EA                                                                                CVR VINYL TABL/CHR 48"-54" GRY
1526 IFLOCS          32227          00003         6               38.5EA                                                                                CVR VINYL TABL OVAL 110X84 GRY
1526 DFLOCS          32227          000030000091314101402                  30 Net 30 Days                                  2325-30                                                            5814
1526 NFLOCS          32228          Flower City - SSF, Inc.       15155 Carol Lane                                            Wayzata          MN55391
1526 IFLOCS          32228          00001        12              13.25EA                                                                                CVR VINYL CHR LOUNGE CHAIS GRY
1526 IFLOCS          32228          00002         4               31.5EA                                                                                CVR TABL OVAL 92" X 60" GRY
1526 IFLOCS          32228          00003         4               38.5EA                                                                                CVR VINYL TABL OVAL 110X84 GRY
1526 DFLOCS          32228          000030000047056101402                  30 Net 30 Days                                  2325-82                                                            3156
1526 NFLOCS          32229          Flower City - SSF, Inc.       15155 Carol Lane                                            Wayzata          MN55391
