# protools/abhack/attrTabCompletion.txt is a list of ABL attribute and methods to use on TAB in Seb's AppBuilder Hack
# lines that begins with '#' are ignored
# This file is reloaded each time you recheck its corresponding toggle-box





ACCELERATOR                 MENU-ITEM
ADD-BUFFER()                QUERY
ADD-CALC-COLUMN()           BROWSE
ADD-COLUMNS-FROM()          BROWSE
ADD-FIELDS-FROM()           TEMP-TABLE
ADD-FIRST()                 SELECTION-LIST,COMBO-BOX
ADD-INDEX-FIELD()           TEMP-TABLE
ADD-LAST()                  RADIO-SET,SELECTION-LIST,COMBO-BOX
ADD-LIKE-COLUMN()           BROWSE
ADD-LIKE-INDEX()            TEMP-TABLE
ADD-NEW-FIELD()             TEMP-TABLE
ADD-NEW-INDEX()             TEMP-TABLE
ADD-SUPER-PROCEDURE()       PROCEDURE,SESSION
ADM-DATA                    BUFFER,BUFFER-FIELD,TEMP-TABLE,PROCEDURE,QUERY,CALL,X-DOCUMENT,X-NODEREF,SAX-READER
ALLOW-COLUMN-SEARCHING      BROWSE
ALWAYS-ON-TOP               WINDOW
AMBIGUOUS                   BUFFER
APPL-ALERT-BOXES            SESSION
ASYNC-REQUEST-COUNT         PROCEDURE,SESSION
ATTR-SPACE                  FILL-IN,TEXT
AUTO-RESIZE                 FILL-IN,BROWSE-COLUMN,EDITOR,BUTTON,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,LITERAL,TEXT,TOGGLE-BOX
AUTO-RETURN                 FILL-IN,BROWSE-COLUMN,TEXT
AUTO-VALIDATE               BROWSE
AUTO-ZAP                    FILL-IN,BROWSE-COLUMN,TEXT
AVAILABLE                   BUFFER,BUFFER-FIELD
BASE-ADE                    SESSION
BATCH-MODE                  SESSION
BGCOLOR                     FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU
BLANK                       FILL-IN,TEXT
BUFFER-COMPARE()            BUFFER
BUFFER-COPY()               BUFFER
BUFFER-CREATE()             BUFFER
BUFFER-DELETE()             BUFFER
BUFFER-FIELD                BUFFER,BROWSE-COLUMN
BUFFER-HANDLE               BUFFER-FIELD
BUFFER-NAME                 BUFFER-FIELD
BUFFER-RELEASE()            BUFFER
BUFFER-VALUE                BUFFER-FIELD
CACHE                       QUERY
CAN-CREATE                  BUFFER
CAN-DELETE                  BUFFER
CAN-READ                    BUFFER,BUFFER-FIELD
CAN-WRITE                   BUFFER,BUFFER-FIELD
CANCEL-BREAK()              DEBUGGER
CASE-SENSITIVE              BUFFER-FIELD
CHARACTER_LENGTH            EDITOR
CHARSET                     SESSION
CHECKED                     TOGGLE-BOX,MENU-ITEM
CLEAR()                     TEMP-TABLE,CALL,DEBUGGER
CLIENT-TYPE                 SESSION
CODE                        LAST-EVENT
COLUMN                      FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,LAST-EVENT
COLUMN-BGCOLOR              BROWSE-COLUMN
COLUMN-DCOLOR               BROWSE-COLUMN
COLUMN-FGCOLOR              BROWSE-COLUMN
COLUMN-FONT                 BROWSE-COLUMN
COLUMN-LABEL                BUFFER-FIELD
COLUMN-MOVABLE              BROWSE
COLUMN-PFCOLOR              BROWSE-COLUMN
COLUMN-READ-ONLY            BROWSE-COLUMN
COLUMN-RESIZABLE            BROWSE
COLUMN-SCROLLING            BROWSE
CONTEXT-HELP-FILE           WINDOW,DIALOG-BOX,SESSION
