English,Espanol (Spanish),Français (French)
Graphics\32x32\usa_32.ico,Graphics\32x32\mexico_32.ico,Graphics\32x32\france_32.ico
1099-MISC,1099-Varios,1099-Divers
2 Scheduler View,2 Vista de programador,2 Vue du planificateur
3 Scheduler Pro,3 Programador Pro,3 Planificateur Pro
A/R Control,Control de A/R,Contrôle A/R
About,Sobre,Sur
Accounts Payable Control,Control de cuentas por pagar,Contrôle des comptes fournisseurs
Accounts Receivable,Cuentas por cobrar,Comptes débiteurs
Acknowledgements,Expresiones de gratitud,Remerciements
Actual Releases,Lanzamientos reales,Communiqués de presse
Add/Edit DB/CR Memos,Añadir/Editar DB/CR Memorándum,Ajouter / Modifier des mémos DB / CR
Aged Inventory,Inventario envejecido,Inventaire vieilli
Aged Inventory w/WIP,Inventario envejecido w/WIP,Inventaire vieilli avec WIP
Aged Receivables,Cuentas por cobrar envejecidas,Créances vieillies
Aged Receivables Totals,Totales de cuentas por cobrar,Aged Receivables Totals
Alphabetic Item List,Lista de elementos alfabéticos,Liste alphabétique des objets
AP Accounts by Vendor,Cuentas AP por proveedor,Comptes AP par fournisseur
AP Cash Requirements,Requisitos de efectivo de AP,Exigences de trésorerie AP
AP Check Register,AP Check Register,AP Check Registre
AP Credit/Debit Memos,Memorándums de crédito/débito de AP,AP Mémos de crédit/débit
AP Invoice Inquiry,Consulta de factura de AP,AP Demande de facture
AP Invoice Posting,Publicación de facturas AP,AP Facturation
AP Invoices by Vendor,Facturas de AP por vendedor,AP Factures par le fournisseur
AP Mailing List,Lista de correo AP,AP Factures par le fournisseur
AP Vendor Analysis,Análisis de proveedores AP,Analyse du fournisseur AP
Apply/Reapply Cash/Memos,Aplicar/Volver a solicitar efectivo,Appliquer/Réappliquer Cash/Memos
Approve Jobs,Aprobar trabajos,Les mémos approuvent les travaux
AR Accounts by Customer,Cuentas AR por cliente,Comptes AR par client
AR Cash Requirements,AR Requisitos de efectivo,AR Exigences de trésorerie
AR Credit/Debit Memos,Membresías de crédito/débito AR,AR Crédits/Débit			
AR Invoice Edit List,Lista de Edición de Factura de AR,AR Facture Modifier la liste
AR Invoice Inquiry,Consulta de factura de AR,AR Invoice Inquiry
AR Mailing List,Lista de correo de AR,Liste de diffusion AR
Archive/Delete Estimates,Archivar/Eliminar estimaciones,Archiver/Supprimer les estimations
ASI Version (Patch History),Versión de ASI (historial de parches),Version ASI (historique des correctifs)
Assign WIP Tags To Machine,Asignar etiquetas WIP a la máquina,Affecter des tags WIP à la machine
Audit History,Historial de auditoría,Historique d'audit
Bank Deposit Report,Informe de depósito bancario,Rapport de dépôt bancaire
Bank Reconciliation,Reconciliación bancaria,Rapprochement bancaire
Banks,Bancos,Banques
Barcode Sharp Shooter,Código de barras Sharp Shooter,Tireur pointu de code à barres
Batch Procedure Maintenance,Mantenimiento del procedimiento por lotes,Maintenance de la procédure par lots
Batch Running Procedure,Procedimiento de ejecución por lotes,Procédure en cours d'exécution
Batch Spool Requests,Solicitudes de envío por lotes,Demandes de spool par lots
Bill Finance Charges,Cargos de Bill Finance,Frais de financement du projet de loi
Bill Of Lading Creation,Creación de Bill of Lading,Création de connaissement
Bill of Lading Transaction,Bill of Lading Transaction,Transaction de connaissement
Bill of Materials Print,Bill of Materials Print,Nomenclature Imprimer
Billing / Counter Sales,Facturación/Ventas de mostrador,Billing/Counter Sales
Billing Detail Sales Journal,Diario de ventas de detalle de facturación,Journal des ventes de détail de facturation
Board Reconciliation,Reconciliación de la Junta,Rapprochement du conseil
Board/Paper To Order,Tablero/Papel a pedido,Conseil / Papier à commander
BOL Edit List,Lista de BOL Edit,BOL Modifier la liste
BOL Packing List,BOL Lista de embalaje,BOL Liste d'emballage
Bookings Highlights,Reservas Destacados,Faits saillants des réservations
Box Designs,Diseños de cajas,Conception de boîte
