"" "Alt Res" "altResource" "xxxxxxxx" no ""
"" "Orig Start" "calcTimeField" "HH:MM:SSam" no ""
"" "Total Time" "calcTimeField" "XXXXXXXXXXX" no ""
"" "Orig End" "calcTimeField" "HH:MM:SSam" no ""
"" "Job Time" "calcTimeField" "XXXXXXXXXXX" no ""
"" "Start Time" "calcTimeField" "HH:MM:SSam" no ""
"" "End Time" "calcTimeField" "HH:MM:SSam" no ""
"" "Downtime" "calcTimeField" "XXXXXXXXXXX" no ""
"" "Due Time" "calcTimeField" "HH:MM:SSam" no ""
"" "Due Date" "dueDate" "99.99.9999" no ""
"" "End Date" "endDate" "99.99.9999" no ""
"" "Job ID" "job" "XXXXXXXXXXXXXXXXXXXX" no ""
"" "C" "jobCompleted" "X" no ""
"" "Completed" "jobCompleted" "Yes/No" no ""
"" "Job Description" "jobDescription" "XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX" no ""
"" "Locked" "jobLocked" "Yes/No" no ""
"" "Seq" "jobSequence" "zz9" no ""
"" "Job Sort" "jobSort" "XXXXXXXXXXXXXXXXXXXX" no ""
"" "Status-1" "jobStatus[1]" "Yes/No" no ""
"" "Status-2" "jobStatus[2]" "Yes/No" no ""
"" "Status-3" "jobStatus[3]" "Yes/No" no ""
"" "Status-4" "jobStatus[4]" "Yes/No" no ""
"" "Status-5" "jobStatus[5]" "Yes/No" no ""
"" "Status-6" "jobStatus[6]" "Yes/No" no ""
"" "Status-7" "jobStatus[7]" "Yes/No" no ""
"" "Status-8" "jobStatus[8]" "Yes/No" no ""
"" "Status-9" "jobStatus[9]" "Yes/No" no ""
"" "Status-10" "jobStatus[10]" "Yes/No" no ""
"" "Status-11" "jobStatus[11]" "Yes/No" no ""
"" "Status-12" "jobStatus[12]" "Yes/No" no ""
"" "Status-13" "jobStatus[13]" "Yes/No" no ""
"" "Status-14" "jobStatus[14]" "Yes/No" no ""
"" "Type" "jobType" "X" no ""
"" "Live" "liveUpdate" "Yes/No" no ""
"" "Next Res" "nextRes" "XXXXXXXX" no ""
"" "Orig End" "origEndDate" "99.99.9999" no ""
"" "Orig Start" "origStartDate" "99.99.9999" no ""
"" "Prev Res" "prevRes" "XXXXXXXX" no ""
"" "Prod Date" "prodDate" "99.99.9999" no ""
"" "Resource" "resource" "XXXXXXXX" no ""
"" "Resource Description" "resourceDescription" "XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX" no ""
"" "ResSeq" "resourceSequence" "zz9" no ""
"" "Routing" "routing" "XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX" no ""
"" "Skip Line" "skipLine" "<------->" no ""
"" "Start Date" "startDate" "99.99.9999" no ""
"" "Status" "status" "XXXXXXXXXXXXXXXXXXXX" no ""
"" "Status Label" "statusLabel" "XXXXXXXXXXXXXXXXXXXX" no ""
"" "User Value" "userValue" "XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX" no ""
"ASI" "Customer" "userField01" "XXXXXXXXXX" yes "cust"
"ASI" "Customer Name" "userField02" "XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX" yes "cust"
"ASI" "Board" "userField03" "XXXXXXXXXX" yes "ef"
"ASI" "Board Name" "userField04" "XXXXXXXXXXXXXXXXXXXXXXXXXXXXXX" yes "boardName"
"ASI" "Die" "userField05" "XXXXXXXXXXXXXXX" no "eb"
"ASI" "Plate" "userField06" "XXXXXXXXXXXXXXX" no "eb"
"ASI" "PO" "userField07" "XXXXXX" yes "po-ordl"
