
SchedulerPro (v2.008) - Printing Report 1 [printing.p]

Resource: 407        PLANETA 6 COLOR
========================================

Job ID               Form Blank
-------------------- ---- -----
1370-0.1               1     
1384-0.1               1     
1663-0.1               1     
1663-0.3               3     





















































Page: 1        11.05.2013 @ 12:57:40am

SchedulerPro (v2.008) - Printing Report 1 [printing.p]

Resource: 408        408 HEIDY 7C + COAT
========================================

Job ID               Form Blank
-------------------- ---- -----
1495-0.1               1     
1399-0.1               1     
1346-0.2               2     
1282-0.1               1     
S1735-0.1              1     
1343-0.3               3     
1448-0.1               1     
Note: 08/13/10 @  2:00:31pm - test 2
1436-0.1               1     
Note: 07/03/08 @  4:52:30am - this is a test note
1390-0.1               1     
1346-0.3               3     
1438-0.1               1     
1505-0.1               1     
1387-0.1               1     
040105-0.1             1     
S570-0.1               1     
1467-0.1               1     
1409-0.1               1     
1394-0.1               1     
1498-0.1               1     
1224-0.4               4     
1491-0.1               1     
1486-0.1               1     
1450-0.1               1     
1223-0.4               4     
1496-0.1               1     
1408-0.1               1     
1382-0.1               1     
1472-0.1               1     
1381-0.1               1     
1439-0.1               1     
1499-0.1               1     
1466-0.1               1     
1467-0.2               2     
1364-0.2               2     
1476-0.1               1     
1498-0.2               2     
1706-0.1               1     
1436-0.2               2     
1385-0.1               1     
1347-0.2               2     
1499-0.2               2     
1498-0.3               3     
1347-0.4               4     
1390-0.2               2     
1383-0.1               1     
1347-0.3               3     
1491-0.2               2     
1351-0.2               2     
1364-0.3               3     
1412-0.2               2     
1409-0.2               2     
1438-0.2               2     
1706-0.3               3     
1706-0.2               2     

Page: 2        11.05.2013 @ 12:57:40am

SchedulerPro (v2.008) - Printing Report 1 [printing.p]

Resource: 408        408 HEIDY 7C + COAT
========================================
1663-0.2               2     
1291-0.4               4     
1347-0.1               1     
1381-0.2               2     
1013-0.1               1     
1521-0.1               1     
1511-0.1               1     
1502-0.2               2     
1369-0.1               1     
1502-0.1               1     
1463-0.1               1     
1502-0.3               3     
1236-0.4               4     
1225-0.4               4     
1226-0.4               4     
1291-0.5               5     
1351-0.3               3     
1351-0.4               4     
1412-0.1               1     
1511-0.2               2     








































Page: 3        11.05.2013 @ 12:57:40am

SchedulerPro (v2.008) - Printing Report 1 [printing.p]

Resource: 49         49 CUTTER
========================================

Job ID               Form Blank
-------------------- ---- -----
1430-0.2               2     
1495-0.1               1     
1364-0.1               1     
1346-0.2               2     
1384-0.1               1     
1343-0.3               3     
1663-0.1               1     
Note: 08/13/10 @  1:59:41pm - help
1448-0.1               1     
Note: 08/13/10 @  2:00:31pm - test 2
1346-0.3               3     
1430-0.1               1     
1390-0.1               1     
1387-0.1               1     
040105-0.1             1     
1436-0.1               1     
Note: 07/03/08 @  4:52:30am - this is a test note
1467-0.1               1     
1505-0.1               1     
1394-0.1               1     
1498-0.1               1     
1438-0.1               1     
1491-0.1               1     
1486-0.1               1     
1409-0.1               1     
1351-0.1               1     
1399-0.1               1     
1663-0.3               3     
1496-0.1               1     
