ACCELERATOR                 MENU-ITEM
ACCEPT-CHANGES()            BUFFER,DATASET
ACCEPT-ROW-CHANGES()        BUFFER
ADD-BUFFER()                QUERY,DATASET
ADD-CALC-COLUMN()           BROWSE
ADD-COLUMNS-FROM()          BROWSE
ADD-FIELDS-FROM()           TEMP-TABLE
ADD-FIRST()                 SELECTION-LIST,COMBO-BOX
ADD-INDEX-FIELD()           TEMP-TABLE
ADD-LAST()                  RADIO-SET,SELECTION-LIST,COMBO-BOX
ADD-LIKE-COLUMN()           BROWSE
ADD-LIKE-INDEX()            TEMP-TABLE
ADD-NEW-FIELD()             TEMP-TABLE
ADD-NEW-INDEX()             TEMP-TABLE
ADD-SCHEMA-LOCATION()       X-DOCUMENT,SAX-READER
ADD-SOURCE-BUFFER()         DATA-SOURCE
ADD-SUPER-PROCEDURE()       PROCEDURE,SESSION
ADM-DATA                    BUFFER,BUFFER-FIELD,TEMP-TABLE,PROCEDURE,QUERY,CALL,X-DOCUMENT,X-NODEREF,SAX-READER,SAX-WRITER,SAX-ATTRIBUTES,DATA-SOURCE,DATASET,DATA-RELATION
AFTER-BUFFER                BUFFER
AFTER-ROWID                 BUFFER
ALLOW-COLUMN-SEARCHING      BROWSE
ALWAYS-ON-TOP               WINDOW
AMBIGUOUS                   BUFFER
APPL-ALERT-BOXES            SESSION
APPLY-CALLBACK()            BUFFER,QUERY,DATASET
ASYNC-REQUEST-COUNT         PROCEDURE,SESSION
ATTACH-DATA-SOURCE()        BUFFER
ATTACHED-PAIRLIST           BUFFER
ATTR-SPACE                  FILL-IN,TEXT
ATTRIBUTE-NAMES             X-DOCUMENT,X-NODEREF
AUTO-DELETE                 BUFFER
AUTO-RESIZE                 FILL-IN,BROWSE-COLUMN,EDITOR,BUTTON,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,LITERAL,TEXT,TOGGLE-BOX
AUTO-RETURN                 FILL-IN,BROWSE-COLUMN,TEXT
AUTO-SYNCHRONIZE            BUFFER
AUTO-VALIDATE               FRAME,BROWSE
AUTO-ZAP                    FILL-IN,BROWSE-COLUMN,TEXT
AVAILABLE                   BUFFER,BUFFER-FIELD
BASE-ADE                    SESSION
BASIC-LOGGING               QUERY
BATCH-MODE                  SESSION
BEFORE-BUFFER               BUFFER
BEFORE-ROWID                BUFFER
BEFORE-TABLE                TEMP-TABLE
BGCOLOR                     FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU
BLANK                       FILL-IN,TEXT
BUFFER-COMPARE()            BUFFER
BUFFER-COPY()               BUFFER
BUFFER-CREATE()             BUFFER
BUFFER-DELETE()             BUFFER
BUFFER-FIELD                BUFFER,BROWSE-COLUMN
BUFFER-FIELD()              BUFFER,BROWSE-COLUMN
BUFFER-HANDLE               BUFFER-FIELD
BUFFER-NAME                 BUFFER-FIELD
BUFFER-RELEASE()            BUFFER
BUFFER-VALIDATE()           BUFFER
BUFFER-VALUE                BUFFER-FIELD
CACHE                       QUERY
CAN-CREATE                  BUFFER
CAN-DELETE                  BUFFER
CAN-READ                    BUFFER,BUFFER-FIELD
CAN-WRITE                   BUFFER,BUFFER-FIELD
CANCEL-BREAK()              DEBUGGER
CASE-SENSITIVE              BUFFER-FIELD
CHARACTER_LENGTH            EDITOR
CHARSET                     SESSION
CHECKED                     BROWSE-COLUMN,TOGGLE-BOX,MENU-ITEM
CLASS-TYPE                  COMPILER
CLEAR()                     TEMP-TABLE,CALL,DATASET,DEBUGGER
CLEAR-SORT-ARROWS()         BROWSE
CLIENT-TYPE                 SESSION
CODE                        LAST-EVENT
COLUMN                      FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,LAST-EVENT
COLUMN-BGCOLOR              BROWSE-COLUMN
COLUMN-DCOLOR               BROWSE-COLUMN
COLUMN-FGCOLOR              BROWSE-COLUMN
COLUMN-FONT                 BROWSE-COLUMN
COLUMN-LABEL                BUFFER-FIELD
COLUMN-MOVABLE              BROWSE
COLUMN-PFCOLOR              BROWSE-COLUMN
COLUMN-READ-ONLY            BROWSE-COLUMN
COLUMN-RESIZABLE            BROWSE
COLUMN-SCROLLING            BROWSE
CONNECT()                   SERVER
CONTEXT-HELP-FILE           WINDOW,DIALOG-BOX,SESSION
CONTEXT-HELP-ID             FILL-IN,BROWSE,EDITOR,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,TEXT,TOGGLE-BOX
CONTROL-BOX                 WINDOW
CONVERT-3D-COLORS           BUTTON,IMAGE
CONVERT-TO-OFFSET()         EDITOR
COPY-DATASET()              DATASET
COPY-SAX-ATTRIBUTES()       SAX-ATTRIBUTES
COPY-TEMP-TABLE()           BUFFER,TEMP-TABLE
CPCASE                      SESSION
CPCOLL                      SESSION
CPINTERNAL                  SESSION
CPLOG                       SESSION
CPPRINT                     SESSION
CPRCODEIN                   SESSION
CPRCODEOUT                  SESSION
CPSTREAM                    SESSION
CPTERM                      SESSION
CRC-VALUE                   BUFFER,RCODE-INFO
CREATE-LIKE()               TEMP-TABLE,DATASET
CREATE-RESULT-LIST-ENTRY()  BROWSE,QUERY
CURRENT-CHANGED             BUFFER
CURRENT-COLUMN              BROWSE
CURRENT-RESULT-ROW          QUERY
CURRENT-ROW-MODIFIED        BROWSE
CURRENT-WINDOW              PROCEDURE
CURSOR-CHAR                 EDITOR
CURSOR-LINE                 EDITOR
CURSOR-OFFSET               FILL-IN,BROWSE-COLUMN,EDITOR,TEXT
DATA-ENTRY-RETURN           SESSION
DATA-SOURCE                 BUFFER
DATA-SOURCE-COMPLETE-MAP    BUFFER
DATA-SOURCE-MODIFIED        BUFFER,TEMP-TABLE,DATASET
DATA-TYPE                   FILL-IN,BUFFER-FIELD,BROWSE-COLUMN,EDITOR,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
DATASET                     BUFFER
DATE-FORMAT                 SESSION
DB-REFERENCES               PROCEDURE,RCODE-INFO
DBNAME                      FILL-IN,BUFFER,BUFFER-FIELD,BROWSE-COLUMN,EDITOR,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
DCOLOR                      FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU
DEBLANK                     FILL-IN,TEXT
DEBUG()                     DEBUGGER
DEBUG-ALERT                 SESSION
DECLARE-NAMESPACE()         SAX-WRITER
DEFAULT-BUFFER-HANDLE       TEMP-TABLE
DELETE()                    BROWSE-COLUMN,RADIO-SET,SELECTION-LIST,COMBO-BOX
DELETE-CURRENT-ROW()        BROWSE
DELETE-RESULT-LIST-ENTRY()  BROWSE,QUERY
DELETE-SELECTED-ROW()       BROWSE
DELETE-SELECTED-ROWS()      BROWSE
