Account Number,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8,Period 9,Period 10,Period 11,Period 12,Period 13
3000-501,-550872,-548172,-614372,-570172,-588372,-610672,-612272,-635172,-657872,-661172,-647672,-508872,0
3000-512,0,-7000,-7000,-10000,-10000,-10000,-12000,-12000,-12000,-15000,-15000,-15000,0
3000-512,-15278,-15278,-15278,-15278,-15278,-15278,-15278,-15278,-15278,-15278,-15278,-15278,0
3000-612,-30556,-30556,-30556,-30556,-30556,-30556,-30556,-30556,-30556,-30556,-30556,-30556,0
3000-620,-551694,-530444,-735194,-466194,-593044,-683944,-791194,-514294,-561944,-605194,-542244,-379194,0
4000-500,294496,293053,328443,304814,314544,326465,327321,339563,351698,353463,346246,272043,0
4000-501,33052,32890,36862,34210,35302,36640,36736,38110,39472,39670,38860,30532,0
4002-500,125621,120782,167404,106152,135036,155734,180155,117105,127955,137803,123469,86343,0
4002-600,191990,184595,255848,162236,206379,238013,275336,178974,195557,210608,188701,131960,0
4100-500,34375,34375,34375,34375,34375,34375,34375,34375,34375,34375,34375,34375,0
5000-100,16280,16280,16280,16280,16280,16280,16280,16280,16280,16280,16280,16280,0
5000-102,12975,12975,12975,12975,12975,12975,12975,12975,12975,12975,12975,12975,0
5000-103,1900,1900,1140,570,475,0,0,0,190,475,950,1900,0
5000-104,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,0
5000-106,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,0
5000-107,16667,16667,16667,16667,16667,16667,16667,16667,16667,16667,16667,16667,0
5000-320,4833,4833,4833,4833,4833,4833,4833,4833,4833,4833,4833,4833,0
5100-001,83250,83250,83250,83250,83250,83250,83250,83250,83250,83250,83250,83250,0
5100-009,22252,22252,22252,22252,22252,22252,22252,22252,22252,22252,22252,22252,0
5100-020,5757,5757,5757,5757,5757,5757,5757,5757,5757,5757,5757,5757,0
5100-210,10218,10067,12478,9718,11009,12016,13002,10742,11368,11809,11129,8443,0
5100-310,833,833,833,833,833,833,833,833,833,833,833,833,0
5100-313,9167,9167,9167,9167,9167,9167,9167,9167,9167,9167,9167,9167,0
5100-500,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,0
5100-572,-6830,-6727,-8061,-6681,-7308,-7839,-8250,-7424,-7797,-7986,-7636,-5826,0
5100-800,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,0
5105-330,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,0
5195-311,83,83,83,83,83,83,83,83,83,83,83,83,0
5400-011,13058,13058,13058,13058,13058,13058,13058,13058,13058,13058,13058,13058,0
5400-019,3656,3656,3656,3656,3656,3656,3656,3656,3656,3656,3656,3656,0
5500-011,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,0
5500-019,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,1950,0
5500-106,833,833,833,833,833,833,833,833,833,833,833,833,0
5500-312,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0
5500-320,333,333,333,333,333,333,333,333,333,333,333,333,0
5500-322,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,0
5500-333,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,0
5550-326,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0
5600-011,12806,12806,12806,12806,12806,12806,12806,12806,12806,12806,12806,12806,0
5600-013,917,917,917,917,917,917,917,917,917,917,917,917,0
5600-019,3329,3329,3329,3329,3329,3329,3329,3329,3329,3329,3329,3329,0
5600-310,167,167,167,167,167,167,167,167,167,167,167,167,0
5600-324,167,167,167,167,167,167,167,167,167,167,167,167,0
5600-326,417,417,417,417,417,417,417,417,417,417,417,417,0
5700-020,2917,2917,2917,2917,2917,2917,2917,2917,2917,2917,2917,2917,0
5700-022,525,525,525,525,525,525,525,525,525,525,525,525,0
5700-310,17,17,17,17,17,17,17,17,17,17,17,17,0
6000-020,5417,5417,5417,5417,5417,5417,5417,5417,5417,5417,5417,5417,0
6000-021,334,334,334,334,334,334,334,334,334,334,334,334,0
6000-022,1438,1438,1438,1438,1438,1438,1438,1438,1438,1438,1438,1438,0
6000-023,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,0
6000-026,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,0
6000-107,5167,5167,5167,5167,5167,5167,5167,5167,5167,5167,5167,5167,0
6000-310,125,125,125,125,125,125,125,125,125,125,125,125,0
6000-313,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0
6000-316,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,0
6000-321,300,300,300,300,300,300,300,300,300,300,300,300,0
6000-322,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,0
6000-326,833,833,833,833,833,833,833,833,833,833,833,833,0
6000-327,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,0
6000-328,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0
6000-329,750,750,750,750,750,750,750,750,750,750,750,750,0
6000-341,600,600,600,600,600,600,600,600,600,600,600,600,0
6000-345,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,1083,0
6200-023,12667,12667,12667,14125,15583,15583,15583,15583,15583,15583,15583,15583,0
6200-026,4125,4125,4125,4125,4125,4125,4125,4125,4125,4125,4125,4125,0
6200-320,42,42,42,42,42,42,42,42,42,42,42,42,0
6500-020,2083,2083,2083,2083,2083,2083,2083,2083,2083,2083,2083,2083,0
6500-021,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,3333,0
6500-023,2083,2083,2083,2083,2083,2083,2083,2083,2083,2083,2083,2083,0
6500-025,776,776,776,776,776,776,776,776,776,776,776,776,0
6500-106,323,323,323,323,323,323,323,323,323,323,323,323,0
6500-310,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0
6500-311,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402,1402,0
6500-312,500,500,500,500,500,500,500,500,500,500,500,500,0
6500-313,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0
6500-314,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0
6500-316,292,292,292,292,292,292,292,292,292,292,292,292,0
6500-317,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0
6500-319,167,167,167,167,167,167,167,167,167,167,167,167,0
6500-323,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,0
6500-324,2125,2125,2125,2125,2125,2125,2125,2125,2125,2125,2125,2125,0
6500-327,5417,5417,5417,5417,5417,5417,5417,5417,5417,5417,5417,5417,0
6500-334,367,367,367,367,367,367,367,367,367,367,367,367,0
6500-340,250,250,250,250,250,250,250,250,250,250,250,250,0
6500-915,500,500,500,500,500,500,500,500,500,500,500,500,0
7000-020,7333,7333,7333,7333,7333,7333,7333,7333,7333,7333,7333,7333,0
7000-021,548,548,548,548,548,548,548,548,548,548,548,548,0
7000-022,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,1655,0
7000-310,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,0
7000-314,833,833,833,833,833,833,833,833,833,833,833,833,0
7000-316,117,117,117,117,117,117,117,117,117,117,117,117,0
7000-320,833,833,833,833,833,833,833,833,833,833,833,833,0
7002-020,22375,22375,22375,19375,19375,19375,19375,19375,19375,19375,19375,19375,0
7002-021,334,334,334,334,334,334,334,334,334,334,334,334,0
7002-023,10509,10509,10509,10509,10509,10509,10509,10509,10509,10509,10509,10509,0
7002-027,61759,60433,78101,56665,66743,74317,82415,62794,67183,70659,65488,48148,0
7002-106,42,42,42,42,42,42,42,42,42,42,42,42,0
7002-310,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,0
7002-311,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,0
7002-312,417,417,417,417,417,417,417,417,417,417,417,417,0
7002-313,750,750,750,750,750,750,750,750,750,750,750,750,0
7002-314,833,833,833,833,833,833,833,833,833,833,833,833,0
7002-316,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0
7002-320,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,0
9000-335,-8333,-8333,-8333,-8333,-8333,-8333,-8333,-8333,-8333,-8333,-8333,-8333,0
9000-912,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0
9001-912,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,0
9001-915,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,0
9300-950,399,225,9798,-615,4295,8298,12246,3531,5990,7858,5142,-5676,0
9500-914,718,405,17636,-1107,7731,14937,22044,6356,10783,14144,9256,-10217,0
9990-500,5005123,4980592,5582072,5180479,5345841,5548455,5562992,5771057,5977305,6007289,5884630,4623519,0
9990-600,1455523,1399460,1939647,1229950,1564616,1804435,2087391,1356852,1482565,1596671,1430591,1000420,0
9990-560,-520686,-518134,-580707,-538929,-556131,-577209,-578722,-600367,-621823,-624942,-612182,-480988,0
9990-660,-7592,-7300,-10118,-6416,-8161,-9412,-10888,-7078,-7733,-8329,-7462,-5218,0
