user_name,main_program,sub_program,col_name,col_val,seq_no,display
"Admin","Arbol.aspx","Arbol.aspx","Units","vBolCases","8","0"
"Admin","Arbol.aspx","Arbol.aspx","","vBolinNo2","5","0"
"Admin","Arbol.aspx","Arbol.aspx","Item#","vBolIno","2","0"
"Admin","Arbol.aspx","Arbol.aspx","Job#","vBolJobNo","4","0"
"Admin","Arbol.aspx","Arbol.aspx","Whse","vBolLoc","6","0"
"Admin","Arbol.aspx","Arbol.aspx","Location","vBolLocbin","7","0"
"Admin","Arbol.aspx","Arbol.aspx","Bol#","vBolNo","1","0"
"Admin","Arbol.aspx","Arbol.aspx","Partial","vBolPartial","10","0"
"Admin","Arbol.aspx","Arbol.aspx","Qty/Unit","vBolQtycase","9","0"
"Admin","Arbol.aspx","Arbol.aspx","Ship Status","vBolScode","13","0"
"Admin","Arbol.aspx","Arbol.aspx","Tag","vBolTag","3","0"
"Admin","Arbol.aspx","Arbol.aspx","Weight","vBolweight","11","0"
"Admin","Arbol.aspx","Arbol.aspx","Total","vTotal","12","0"
"Admin","Arinvoice.aspx","Arinvoice.aspx","Bol#","Arbol-no","4","0"
"Admin","Arinvoice.aspx","Arinvoice.aspx","Cust#","Arcust-no","5","0"
"Admin","Arinvoice.aspx","Arinvoice.aspx","Est#","Arest-no","9","0"
"Admin","Arinvoice.aspx","Arinvoice.aspx","FG Item#","Ari-no","6","0"
"Admin","Arinvoice.aspx","Arinvoice.aspx","Inv Date","Arinv-date","2","0"
"Admin","Arinvoice.aspx","Arinvoice.aspx","Inv","Arinv-no","1","0"
"Admin","Arinvoice.aspx","Arinvoice.aspx","Name","Arname","10","0"
"Admin","Arinvoice.aspx","Arinvoice.aspx","Order#","Arord-no","3","0"
"Admin","Arinvoice.aspx","Arinvoice.aspx","Cust Part#","Arpart-no","7","0"
"Admin","Arinvoice.aspx","Arinvoice.aspx","Cust Po#","Arpo-no","8","0"
"","Brwslist_po.aspx","Brwslist_po.aspx","Buyer","buyer","21","0"
"","Brwslist_po.aspx","Brwslist_po.aspx","Rec Uom","consuom","18","0"
"","Brwslist_po.aspx","Brwslist_po.aspx","Unit Count","cost","19","0"
"","Brwslist_po.aspx","Brwslist_po.aspx","Due Date#","due_date","3","0"
"","Brwslist_po.aspx","Brwslist_po.aspx","Item Name","i_name","10","0"
"","Brwslist_po.aspx","Brwslist_po.aspx","Item","i_no","9","0"
"","Brwslist_po.aspx","Brwslist_po.aspx","Job#","job_no","6","0"
"","Brwslist_po.aspx","Brwslist_po.aspx","Job","job_no2","7","0"
"","Brwslist_po.aspx","Brwslist_po.aspx","Qty Ordered","ordqty","14","0"
"","Brwslist_po.aspx","Brwslist_po.aspx","Paid","paid","23","0"
"","Brwslist_po.aspx","Brwslist_po.aspx","Po#","po-no","1","0"
"","Brwslist_po.aspx","Brwslist_po.aspx","Po Qty Received","poqtyrec","15","0"
"","Brwslist_po.aspx","Brwslist_po.aspx","UOM","pruom","20","0"
"","Brwslist_po.aspx","Brwslist_po.aspx","Ord Uom","qtyuom","16","0"
"","Brwslist_po.aspx","Brwslist_po.aspx","Length","s_len","12","0"
"","Brwslist_po.aspx","Brwslist_po.aspx","Form#","s_num","8","0"
"","Brwslist_po.aspx","Brwslist_po.aspx","Width","s_wid","11","0"
"","Brwslist_po.aspx","Brwslist_po.aspx","Ship TO","ship_id","4","0"
"","Brwslist_po.aspx","Brwslist_po.aspx","Ship Name","ship_name","5","0"
"","Brwslist_po.aspx","Brwslist_po.aspx","Status","stat","22","0"
"","Brwslist_po.aspx","Brwslist_po.aspx","Qty Received","tqtyrec","17","0"
"","Brwslist_po.aspx","Brwslist_po.aspx","Vendor Item#","vend_ino","13","0"
"","Brwslist_po.aspx","Brwslist_po.aspx","Vendor#","vend_no","2","0"
"Admin","corrugated_brow.aspx","corrugated_brow.aspx","Board","vBoard","22","0"
"Admin","corrugated_brow.aspx","corrugated_brow.aspx","Cad#","vCad","16","0"
"Admin","corrugated_brow.aspx","corrugated_brow.aspx","Created By","vCreatedBy","21","0"
"Admin","corrugated_brow.aspx","corrugated_brow.aspx","Customer","vCust","2","0"
"Admin","corrugated_brow.aspx","corrugated_brow.aspx","Cust Part","vCustpart","5","0"
"Admin","corrugated_brow.aspx","corrugated_brow.aspx","Depth","vDepth","14","0"
"Admin","corrugated_brow.aspx","corrugated_brow.aspx","Die#","vDie","15","0"
"Admin","corrugated_brow.aspx","corrugated_brow.aspx","Estimate","vest","1","0"
"Admin","corrugated_brow.aspx","corrugated_brow.aspx","Est Date","vEstDate","18","0"
"Admin","corrugated_brow.aspx","corrugated_brow.aspx","Fg Item","vFgitem","3","0"
"Admin","corrugated_brow.aspx","corrugated_brow.aspx","Flute","vFlute","9","0"
"Admin","corrugated_brow.aspx","corrugated_brow.aspx","Item Name","vItemName","4","0"
"Admin","corrugated_brow.aspx","corrugated_brow.aspx","Length","vLength","12","0"
"Admin","corrugated_brow.aspx","corrugated_brow.aspx","Modified By","vModi","19","0"
"Admin","corrugated_brow.aspx","corrugated_brow.aspx","Order","vOrder","7","0"
"Admin","corrugated_brow.aspx","corrugated_brow.aspx","Plate","vPlate","17","0"
"Admin","corrugated_brow.aspx","corrugated_brow.aspx","Qty","vQty","6","0"
"Admin","corrugated_brow.aspx","corrugated_brow.aspx","Qty/Set","vQtySet","11","0"
"Admin","corrugated_brow.aspx","corrugated_brow.aspx","Ship To ID","vShipTo","20","0"
"Admin","corrugated_brow.aspx","corrugated_brow.aspx","Style","vStyle","8","0"
"Admin","corrugated_brow.aspx","corrugated_brow.aspx","Test","vTest","10","0"
"Admin","corrugated_brow.aspx","corrugated_brow.aspx","Width","vWidth","13","0"
"Admin","fold_estimate.aspx","fold_estimate.aspx","Board","vBoard","21","0"
"Admin","fold_estimate.aspx","fold_estimate.aspx","Cad#","vCad","13","0"
"Admin","fold_estimate.aspx","fold_estimate.aspx","Created By","vCreatedBy","15","0"
"Admin","fold_estimate.aspx","fold_estimate.aspx","Customer","vCust","5","0"
"Admin","fold_estimate.aspx","fold_estimate.aspx","Cust Part","vCustpart","4","0"
"Admin","fold_estimate.aspx","fold_estimate.aspx","Depth","vDepth","20","0"
"Admin","fold_estimate.aspx","fold_estimate.aspx","Die#","vDie","12","0"
"Admin","fold_estimate.aspx","fold_estimate.aspx","Estimate","vest","1","0"
"Admin","fold_estimate.aspx","fold_estimate.aspx","Est Date","vEstDate","18","0"
"Admin","fold_estimate.aspx","fold_estimate.aspx","Fg Item","vFgitem","7","0"
"Admin","fold_estimate.aspx","fold_estimate.aspx","Paper 1","vFlute","9","0"
"Admin","fold_estimate.aspx","fold_estimate.aspx","Item Name","vItemName","6","0"
"Admin","fold_estimate.aspx","fold_estimate.aspx","Length","vLength","17","0"
"Admin","fold_estimate.aspx","fold_estimate.aspx","Modified By","vModi","16","0"
"Admin","fold_estimate.aspx","fold_estimate.aspx","Order","vOrder","3","0"
"Admin","fold_estimate.aspx","fold_estimate.aspx","Plate","vPlate","14","0"
"Admin","fold_estimate.aspx","fold_estimate.aspx","Qty","vQty","2","0"
"Admin","fold_estimate.aspx","fold_estimate.aspx","Qty/Set","vQtySet","11","0"
"Admin","fold_estimate.aspx","fold_estimate.aspx","Ship To ID","vShipTo","22","0"
"Admin","fold_estimate.aspx","fold_estimate.aspx","Style","vStyle","8","0"
"Admin","fold_estimate.aspx","fold_estimate.aspx","Paper 2","vTest","10","0"
"Admin","fold_estimate.aspx","fold_estimate.aspx","Width","vWidth","19","0"
"ATT","order_estimate.aspx","order_estimate.aspx","Act Rel Qty","actrelqty","22","0"
"ATT","order_estimate.aspx","order_estimate.aspx","Customer Name","cust-name","3","0"
"ATT","order_estimate.aspx","order_estimate.aspx","Customer","cust-no","2","0"
"ATT","order_estimate.aspx","order_estimate.aspx","FG Item Name","i-name","7","0"
"ATT","order_estimate.aspx","order_estimate.aspx","FG Item","i-no","6","0"
"ATT","order_estimate.aspx","order_estimate.aspx","On Hand Quantity","onhandqty","21","0"
"ATT","order_estimate.aspx","order_estimate.aspx","Order Date","ord-date","15","0"
"ATT","order_estimate.aspx","order_estimate.aspx","Order","ord-no","1","0"
"ATT","order_estimate.aspx","order_estimate.aspx","O/U%","oupct","24","0"
"ATT","order_estimate.aspx","order_estimate.aspx","Customer Part","part-no","8","0"
"ATT","order_estimate.aspx","order_estimate.aspx","Customer Po#","po-no","9","0"
"ATT","order_estimate.aspx","order_estimate.aspx","Uom","pr-uom","25","0"
"ATT","order_estimate.aspx","order_estimate.aspx","Sell Price","price","5","0"
"ATT","order_estimate.aspx","order_estimate.aspx","Prod Qty","Prod","18","0"
"ATT","order_estimate.aspx","order_estimate.aspx","Quote#","q-no","11","0"
"ATT","order_estimate.aspx","order_estimate.aspx","Ordered Qty","qty","17","0"
"ATT","order_estimate.aspx","order_estimate.aspx","Due Date","req-date","4","0"
"ATT","order_estimate.aspx","order_estimate.aspx","Status","stat","16","0"
"ATT","order_estimate.aspx","order_estimate.aspx","Externded Price","t-price","14","0"
"ATT","order_estimate.aspx","order_estimate.aspx","Est#","vEst","10","0"
"ATT","order_estimate.aspx","order_estimate.aspx","Invoice Qty","vinvqty","20","0"
"ATT","order_estimate.aspx","order_estimate.aspx","Job#","VJob","12","0"
"ATT","order_estimate.aspx","order_estimate.aspx","Job","VJob2","13","0"
"ATT","order_estimate.aspx","order_estimate.aspx","Shipped Qty","vshipqty","19","0"
"ATT","order_estimate.aspx","order_estimate.aspx","Wip Qty/Balance Due","wipqty","23","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","Act Rel Qty","actrelQty","22","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","Customer Name","cust-name","3","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","Customer","cust-no","2","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","FG Item Name","i-name","7","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","FG Item","i-no","6","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","On Hand Quantity","onhandqty","21","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","Order Date","ord-date","15","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","Order","ord-no","1","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","O/U%","oupct","24","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","Customer Part","part-no","8","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","Customer Po#","po-no","9","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","Uom","pr-uom","25","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","Sell Price","price","5","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","Prod Qty","Prod","18","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","Quote#","q-no","11","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","Ordered Qty","qty","17","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","Due Date","req-date","4","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","Status","stat","16","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","Externded Price","t-price","14","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","Est#","vEst","10","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","Invoice Qty","vinvqty","20","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","Job#","vJob","12","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","Job","vJob2","13","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","Shipped Qty","vshipqty","19","0"
"ATT","order_inquiry.aspx","order_inquiry.aspx","Wip Qty/Balance Due","wipQty","23","0"
