group_id,parent,menu_label,destination,security,description,menu_id,order_num,allowedidtypes,long_desc,target_page,menu_id2
"1","top","Estimating / Quotes","","Admin,customer","Estimating","1","10","","Estimating","menuhead",""
"1","top","Order Processing","","Admin,External,customer","Order Processing","2","20","","Order Processing","menuhead",""
"1","2","Update / Add Orders","","Admin,customers","Update / Add Orders","7","10","","Update / Add Orders","menuhead",""
"1","top","Network / System Administrator","","admin,manager","Network / System Administrator","11","200","","Network / System Administrator","menuhead",""
"1","top","Inventory / Finished Goods","","admin,External,customer","Inventory / Finished Goods","12","40","","Inventory / Finished Goods","menuhead",""
"1","top","History of Sales","","Admin,External,customer","History of Sales","13","50","","History of Sales","menuhead",""
"1","11","User Maintenance","","admin,manager","User Maintenance","21","100","","User Maintenance","user_master_list.aspx",""
"1","11","Menu Maintenance","","admin,manager","Menu Maintenance","22","70","","Menu Maintenance","main_menu_list.aspx",""
"1","11","User Group Maintenance","","admin,manager","User Group Maintenance","23","110","","User Group Maintenance","usergroup_list.aspx",""
"1","1","Reports For Estimates","","Admin,external,customer","Reports For Estimates","28","80","","Reports For Estimates","menuhead",""
"1","28","Quotes List","","Admin,customer","Quotes List","35","60","","Quotes List","",""
"1","28","Estimates By Size","","Admin,customer","Estimates By Size","37","80","","Estimates By Size","",""
"1","28","Quoted Price By List","","Admin,customer","Quoted Price By List","38","90","","Quoted Price By List","",""
"1","2","Query Orders","","Admin,External,Demo,customer","Query Orders","49","80","","Query Orders","menuhead",""
"1","2","Reports For Orders","","Admin,External,customers","Reports For Orders","50","90","","Reports For Orders","menuhead",""
"1","7","Acknowledgements","","admin,customers","Acknowledgements","114","40","","Acknowledgements","",""
"1","44","Enter / Edit BOL","","admin,manger,user","Enter / Edit BOL","127","10","","Enter / Edit BOL","",""
"1","44","BOL Edit List","","admin,manger,user","BOL Edit List","128","20","","BOL Edit List","",""
"1","44","Print Bills Of Lading","","admin,manger,user","Print Bills Of Lading","129","30","","Print Bills Of Lading","",""
"1","44","Master BOL Print","","admin,manger,user","Master BOL Print","130","40","","Master BOL Print","",""
"1","44","Post BOL / Create Invoices","","admin,manger,user","Post BOL / Create Invoices","131","50","","Post BOL / Create Invoices","",""
"1","44","TruckLoad BOL Summary","","admin,manger,user","TruckLoad BOL Summary","132","60","","TruckLoad BOL Summary","",""
"1","44","Truck Plan Selection","","admin,manger,user","Truck Plan Selection","133","70","","Truck Plan Selection","",""
